Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy,,,
mensaje,Radamantis,"Eso fue impresionante,",,
cambiar,intrigued2,,,
mensaje,Radamantis,"¿qué opina el público? ¿poco tiempo?, pero sabían que cuando estás en un show, la realidad es más fluida que la trama de un anime de filosofía existencial.",,
cambiar,happy3,,,
mensaje,Radamantis,Es como si estuvieras en otro mundo ,,
cambiar,intrigued,,,
mensaje,Radamantis,¿Qué es real?,,
cambiar,happy4,,,
mensaje,Radamantis,La respuesta es tan esquiva como la verdad en 'Neon Genesis Evangelion'.,,
sonido,laughing.wav,,,
