Acción,Argumento 1,Argumento 2,Argumento 3,Argumento 4
cambiar,happy3,,,
mensaje,Radamantis,Gran desempeño concursantes.  ,,
cambiar,intrigued2,,,
mensaje,Radamantis,"¿Cómo les va  pareciendo? Por cierto no les comente que pasaría si ganaban ¿verdad?,",,
cambiar,happy,,,
mensaje,Radamantis,el gran premio por el que todos compiten... o no.,,
cambiar,intrigued,,,
mensaje,Radamantis,¿Qué ganarán?,,
cambiar,happy3,,,
mensaje,Radamantis,"Spoiler: nada tan épico como un opening de anime de Attack of Titans. Pero tendrán la oportunidad de vivir su propia historia, ¡como un protagonista de Isekai como Re:Zero! ",,
cambiar,ups,,,
mensaje,El jabón viene de regalo.,,,
sonido,laughing.wav,,,
